key,value
Relationship Unknown,250230
Stranger,191737
Acquaintance,118877
Boyfriend/Girlfriend,91453
Otherwise Known,68397
Spouse,26643
Friend,23400
Other Family Member,22599
Child,22297
Sibling,16227
Offender,15624
Neighbor,14521
Parent,14488
Ex Spouse,5858
Stepchild,4352
Child of Boyfriend/Girlfriend,4075
Common Law Spouse,3629
In-Law,3042
Stepparent,2419
Grandchild,1889
Grandparent,1456
Employee,1451
Stepsibling,1269
Employer,681
Babysittee,616
Homosexual Relationship,0
